Total,Crew,Passenger,Ground,Type,Incident,Aircraft,Location,Phase,Airport,Distance,
70,8,62,0,COM,Aerosvit Flight 241,Yakovlev Yak-42,"Pierian Mountains, Greece","ENR
[442]",,,1997-12-17
70,9,61,0,COM,Aeroperú Flight 603,Boeing 757-23A,"Pacific Ocean, area of Lima, Peru","ENR
[443]",,,1996-10-02
70,7,63,0,COM,Mandala Airlines Flight 660,Vickers Viscount 816,"Mt. Lalaboy, Ambon Island, Indonesia","APR
[444]",AMQ,"15 km
(9.3 mi)",1992-07-24
70,3,0,67,MIL,Ramstein air show disaster,Aermacchi MB-339 PAN (x3),"Ramstein-Miesenbach, West Germany","MNV
[445]",RMS,,1988-08-28
70,4,66,0,COM,Aeroflot Flight 6502,Tupolev Tu-134A,"Kurumoch, Samara Oblast, Russian SFSR, USSR","LDG
[446]",KUF,,1986-10-20
70,6,64,0,COM,Galaxy Airlines Flight 203,Lockheed L-188 Electra,"Reno, Nevada, US","ICL
[447][448]",RNO,"3 km
(1.9 mi)",1985-01-21
70,7,63,0,COM,TAC Colombia HK-1810,Sud Aviation SE-210 Caravelle,"Riohacha, Colombia","ENR
[449]",,,1980-12-21
70,5,65,0,COM,TWA Flight 128,Convair CV-880-22-1,"Hebron, Kentucky, US","APR
[450][451]",CVG,"2.9 km
(1.8 mi)",1967-11-20
69,6,63,0,COM,Indian Airlines Flight 257,Boeing 737-2A8,"Imphal, India","APR
[452]",IMF,"8 km
(5 mi)",1991-08-16
69,9,59,1,COM,Aeroflot Flight 331,Ilyushin Il-62M,"Boyeros, Cuba","APR
[453]",HAV,"1 km
(0.6 mi)",1977-05-27
69,7,62,0,COM,Merpati Nusantara Airlines Viscount (PK-MVS),Vickers Viscount 828,"Mentawai Strait, off Padang, Indonesia","ENR
[454]",,,1971-11-10
69,9,60,0,COM,Fuerza Aérea Argentina (TC-48),Douglas C-54 Skymaster,Central America[nb 26],"ENR
[455]",,,1965-11-03
68,7,61,0,COM,Aero Caribbean Flight 883,ATR 72-212,"Guasimal, Cuba","ENR
[456]",,,2010-11-04
68,4,64,0,COM,American Eagle Flight 4184,ATR 72-212,"near Roselawn, Indiana, US","APR
[457][458]",ORD,"108 km
(67 mi)",1994-10-31
68,2,66,0,COM,Asiana Airlines Flight 733,Boeing 737-5L9,"Mokpo, South Korea","APR
[459]",MPK,"7 km
(4.3 mi)",1993-07-26
68,8,60,0,COM,Fuerza Aérea Venezolana (7772),Lockheed C-130H Hercules,"Lajes, Azores, Portugal","APR
[460]",TER,"<1 km
(0.6 mi)",1976-09-03
68,7,61,0,COM,Iberia Flight 504 and Spantax Flight 400,McDonnell Douglas DC-9-32 and Convair CV-990-30A-5,"La Planche, France","ENR
[461][462]",,,1973-03-05
68,4,64,0,COM,Toa Domestic Airlines Flight 63,NAMC YS-11A-217,"Yokotsu Mtn., Hakodate, Japan","ENR
[463]",,,1971-07-03
68,9,59,0,COM,TWA Flight 891,Lockheed L-1649 Starliner,"Busto Arsizio, Italy","ENR
[464][465]",,,1959-06-26
67,4,63,0,COM,Transporte Aéreo Militar (TAM-44),Convair CV-440-12,"Cordillera Mts., La Paz Region, Bolivia","ENR
[466]",,,1975-10-27
67,8,59,0,COM,Aeroflot Flight 25,Ilyushin Il-18,"Urakhcha, Rybno-Slobodsky District, Tatar ASSR, Russian SFSR, USSR","ENR
[467]",,,1963-04-04
67,7,60,0,COM,Aerolíneas Argentinas Flight 644,Douglas DC-6,"Cachari, Buenos Aires, Argentina","ENR
[468]",,,1961-07-19
67,10,57,0,MIL,US Air Force (50-0702),Boeing C-97C-35-BO,Pacific Ocean,"ENR
[469]",,,1957-03-22
66,6,60,0,COM,Iran Aseman Airlines Flight 3704,ATR 72-212,"Mount Dena, Zagros Mountains near Semirom, Iran","ENR
[470]",,,2018-02-18
66,10,56,0,COM,EgyptAir Flight 804,Airbus A320-232,eastern Mediterranean Sea,ENR[471],,,2016-05-19
66,7,59,0,COM,Iran Aseman Airlines Flight 746,Fokker F28 Fellowship 1000,"Natanz, Iran",ENR[472],,,1994-10-12
66,4,62,0,COM,Turkish Airlines Flight 301,Fokker F28-1000 Fellowship,"Cumaovası, Turkey","TOF
[473]",ADB,,1974-01-26
66,4,62,0,COM,Aeroflot Flight 141,Tupolev Tu-154,"Prague, Czechoslovakia","APR
[474]",PRG,"0.5 km
(0.3 mi)",1973-02-19
66,7,59,0,INB,Cyprus Airways Flight 284,de Havilland Comet 4,"Mediterranean, near Demre, Turkey","ENR
[475]",,,1967-10-12
66,3,63,0,COM,United Airlines Flight 409,Douglas DC-4,"Medicine Bow Peak, Wyoming, US","ENR
[476][477]",,,1955-10-06
66,11,55,0,MIL,1955 Altensteig mid-air collision,Fairchild C-119 Flying Boxcar (x2),"near Altensteig, West Germany","MNV
[478]",,,1955-08-11
66,9,57,0,COM,United States Navy (131612),Douglas R6D-1 (DC-6),"Pali Kea Peak, Waianae Range, Oahu, Hawaii, US","APR
[479]",HNL,"24 km
(15 mi)",1955-03-22
65,0,65,0,COM,Iran Aseman Airlines/Itek Air Flight 6895,Boeing 737-219,"Bishkek, Kyrgyzstan","APR
[480]",FRU,"c. 2 km
(1.2 mi)",2008-08-24
65,3,60,2,COM,LAPA Flight 3142,Boeing 737-204C,"Palermo, Argentina","TOF
[481]",AEP,,1999-08-31
65,6,59,0,COM,Vietnam Airlines Flight 815,Tupolev Tu-134,"Phnom Penh, Cambodia","APR
[482]",PNH,"0.3 km
(0.19 mi)",1997-09-03
65,7,58,0,COM,Aviateca Flight 901,Boeing 737-200,"San Vicente volcano, El Salvador","APR
[483]",SAL,"24 km
(15 mi)",1995-08-09
65,8,57,0,COM,Aeroflot Flight 1969,Antonov An-10,"Lutuhyne, Ukrainian SSR, USSR","APR
[484]",VSG,"13 km
(8.1 mi)",1971-03-31
65,2,63,0,COM,American Airlines Flight 320,Lockheed L-188 Electra,"East River, New York, US","APR
[485][486]",LGA,"1.5 km
(0.9 mi)",1959-02-03
64,9,55,0,COM,"Aeroflot Flight 7957
and Aeroflot Flight 31",Antonov An-24 and Yakovlev Yak-40,"Black Sea, near Anapa, Russian SFSR, USSR","ENR
[487][488]",,,1976-09-09
64,10,54,0,COM,Canadian Pacific Airlines Flight 402,Douglas DC-8-43,"Tokyo, Japan","APR
[489]",HND,"0.85 km
(0.53 mi)",1966-03-04
64,3,61,0,COM,Aeroflot Flight 20,Ilyushin Il-18B,"Almaty, Kazakh SSR, USSR","APR
[490]",ALA,"0.2 km
(0.12 mi)",1965-01-04
64,11,53,0,COM,Aeroflot Flight 4,Tupolev Tu-104A,"near Chita, Russian SFSR, USSR","ENR
[491]",,,1958-08-15
63,5,58,0,COM,Elleniki Polemikí Aeroporía (748),Lockheed C-130H Hercules,"Mount Othrys, Greece","ENR
[492]",,,1991-02-05
63,3,60,0,INH,Iraqi Airways Flight 163,Boeing 737-270C,"near Arar, Saudi Arabia","ENR
[493]",,,1986-12-25
63,5,58,0,COM,Aeroflot Flight 5484,Tupolev Tu-124V,"near Kirsanov, Russian SFSR, USSR","ENR
[494]",,,1979-08-29
63,8,55,0,COM,Aeroflot Flight 6551,Ilyushin Il-18,"Maksut, Zharma District, Kazakh SSR, USSR","ENR
[495]",,,1973-05-11
63,8,55,0,COM,British European Airways Flight 706,Vickers 951 Vanguard,"Aarsele, Belgium","ENR
[496][497]",,,1971-10-02
63,11,52,0,COM,Air France Flight 212 (F-BLCJ),Boeing 707-328C,"La Grande Soufrière volcano, Guadeloupe","APR
[498]",PTP,"27.5 km
(17.1 mi)",1968-03-05
63,8,55,0,COM,United Arab Airlines Flight 869,de Havilland Comet 4C,"Arabian Sea, off Mumbai, India","APR
[499][nb 27]",BOM,"10 km
(6.2 mi)",1963-07-27
63,8,55,0,COM,Air France Flight 343,Lockheed L-1049G,"Yoff, Senegal","APR
[501]",DKR,"1.6 km
(1 mi)",1960-08-29
63,6,57,0,COM,Northwest Orient Airlines Flight 710,Lockheed L-188C Electra,"Cannelton, Indiana, US","ENR
[502][503]",,,1960-03-17
62,12,50,0,COM,Sriwijaya Air Flight 182,Boeing 737-524,"Java Sea, Indonesia","ENR
[504]",,,2021-01-09
62,7,55,0,COM,Flydubai Flight 981,Boeing 737-8KN,"Rostov-on-Don, Russia","LDG
[505]",ROV,,2016-03-19
62,6,56,0,MIL,Sri Lanka Air Force (CR862),Antonov An-32B,"Jaffna, Sri Lanka","APR
[506]",JAF,"13 km
(8.1 mi)",1995-11-22
62,5,56,1,COM,Aeroflot Flight 2003,Tupolev Tu-124V,"Kokoshkino, Moscow Oblast, Russian SFSR, USSR","ICL
[507]",VKO,"7 km
(4.4 mi)",1976-01-03
62,11,51,0,COM,Air France Flight 212 (F-BHSZ),Boeing 707-328B,"Caribbean, off Maiquetía, Venezuela","ENR
[508][509]",,,1969-12-04
62,3,59,0,COM,Eastern Air Lines Flight 375,Lockheed L-188 Electra,"Boston, Massachusetts, US","ICL
[510][511]",BOS,"c. 1 km
(0.6 mi)",1960-10-04
62,3,59,0,COM,Trans-Canada Air Lines Flight 810,Canadair North Star,"Slesse Mountain, B.C., Canada","ENR
[512]",,,1956-12-09
61,11,50,0,COM,China Southwest Airlines Flight 4509,Tupolev Tu-154M,"Wenzhou, Zhejiang, China","APR
[513]",WNZ,"1 km
(0.6 mi)",1999-02-24
61,3,58,0,MIL,Russian Air Force,Mil Mi-8T,"near Lata, Georgia","UNK
[514][515]",,,1992-12-14
61,4,57,0,COM,Garuda Indonesia (PK-GVE),Fokker F28-1000 Fellowship,"Mount Sibayak, near Berastagi, Indonesia","ENR
[516]",,,1979-07-11
61,9,52,0,COM,Japan Airlines Flight 446,McDonnell Douglas DC-8-62,"Moscow, Russian SFSR, USSR","ICL
[517]",SVO,,1972-11-28
61,5,56,0,COM,Royal Air Maroc (CN-CCV),Sud Aviation SE-210 Caravelle III,"Berrechid, Morocco","APR
[518]",CMN,"5.5 km
(3.4 mi)",1970-04-01
61,4,57,0,COM,Aer Lingus Flight 712,Vickers Viscount 803,"St George's Channel, off Wexford, Ireland","ENR
[519]",,,1968-03-24
61,14,47,0,COM,Viasa Flight 897,Douglas DC-8-53,"Atlantic Ocean, off Fonte da Telha, Lisboa, Portugal","ENR
[520]",,,1961-05-30
61,11,50,0,COM,"US Navy (131582) and
Real Transportes Aéreos (PP-AXD)",Douglas R6D-1 (DC-6A) and Douglas DC-3,"Guanabara Bay, Brazil","APR
[521][522]",GIG,"<5 km
(3.1 mi)",1960-02-25
61,9,52,0,COM,Sabena (OO-SFA),Douglas DC-7C,"Casablanca, Morocco","APR
[523]",CAS,"0.6 km
(0.37 mi)",1958-05-18
61,6,55,0,COM,Aerolíneas Argentinas Flight 670,Douglas DC-4,"near Bolívar, Argentina","ENR
[524]",,,1957-12-08
61,3,0,58,MIL,US Army Air Force (42-50291),Consolidated B-24 Liberator,"Freckleton, England, UK","APR
[525]",EGNO,"c. 1.3 km
(0.8 mi)",1944-08-23
61,11,0,50,MIL,US Air Force (42-40682),Consolidated B-24 Liberator,"Port Moresby, Papua New Guinea (then Territory of Papua)","UNK
[526]",,,1943-09-07
60,6,54,0,COM,Equatorial Express Airlines (3C-VQR),Antonov An-24B,"Baney, Equatorial Guinea","ENR
[527]",,,2005-07-16
60,6,49,5,COM,Alliance Air Flight 7412,Boeing 737-2A8,"Patna, Bihar, India","APR
[528]",PAT,"2 km
(1.2 mi)",2000-07-17
60,10,50,0,COM,TAROM Flight 371,Airbus A310-324,"Balotești, Romania","ENR
[529]",,,1995-03-31
60,[nb 28],[nb 29],0,MIL,Georgian Air Force,Mil Mi-8,"near Svaneti, Georgia","UNK
[530][531]",,,1993-10-04
60,3,57,0,EXG,Sudan Airways (ST-ADY),Fokker F27 Friendship 400M,"near Malakal, South Sudan","ENR
[532]",,,1986-08-16
60,0,60,0,INH,EgyptAir Flight 648,Boeing 737-266,"Luqa, Malta","STD
[533]",MLA,,1985-11-24
60,10,50,0,COM,Malév Flight 240,Tupolev Tu-154B,"Mediterranean, off Beirut, Lebanon","APR
[534]",BEY,"10 km
(6.2 mi)",1975-09-30
60,5,55,0,COM,Air Inter Flight 696,Vickers Viscount 724,"Noirétable, France","ENR
[535]",,,1972-10-27
59,6,53,0,COM,Fuerza Aérea del Peru (FAP-329),de Havilland Canada DHC-5,"Tarma, Peru","ENR
[536]",,,1989-06-21
59,5,54,0,EXG,Air Rhodesia Flight 827,Vickers Viscount 748D,"near Kariba, Zimbabwe (then Rhodesia)","ENR
[537]",,,1979-02-12
59,0,59,0,COM,Libyan Arab Airlines (LZ-BTN),Tupolev Tu-154,"Ar Rajma, Libya","ENR/LDG
[538]",,,1977-12-02
59,4,55,0,COM,SAETA Flight 232,Vickers Viscount 785D,"Chimborazo volcano, Andes Mts., Ecuador","ENR
[539]",,,1976-08-15
59,4,55,0,COM,Lufthansa Flight 540,Boeing 747-130,"Nairobi, Kenya","TOF
[540]",NBO,"1.1 km
(0.68 mi)",1974-11-20
59,3,12,44,MIL,Korean Air Force,Curtiss C-46,"near Yeouido, South Korea","ENR
[541]",,,1967-04-08
59,2,57,0,MIL,US Marine Corps (149802),Lockheed KC-130F Hercules,"Kowloon Bay, Hong Kong, China","TOF
[542][543]",HKG,,1965-08-24
59,9,50,0,COM,Aeroflot Flight 245,Ilyushin Il-18B,"Chebotovka, Tarasovsky District, Russian SFSR, USSR","ENR
[544]",,,1961-12-17
59,4,55,0,COM,Lloyd Aéreo Boliviano (CP-609),Douglas DC-4,"Arbieto, Bolivia","ENR
[545]",,,1960-02-05
59,9,50,0,COM,US Navy (131588),Douglas R6D-1,"Porcupine Seabight, Atlantic Ocean","ENR
[546]",,,1956-10-10
59,4,55,0,MIL,US Army Air Force (44-78591),Curtiss C-46F-1-CU,"Fangshan, Fangshan District, China","APR
[547]",NAY,"25 km
(15.6 mi)",1945-10-12
58,6,52,0,MIL,Yemen Air Force,Antonov An-12,"Sirwah, Yemen","ENR
[548]",,,1992-07-14
58,3,55,0,COM,Aeroflot Flight 7841,Tupolev Tu-134AK,"Minsk, Byelorussian SSR, USSR","ICL
[549]",MSQ,"10 km
(6.3 mi)",1985-02-01
58,1,57,0,COM,Aeroflot Flight 1691,Tupolev Tu-104B,"Moscow, Russian SFSR, USSR","ENR
[550]",,,1979-03-17
58,5,53,0,INB,Air Vietnam (XV-NUI),Douglas C-54D-15-DC Skymaster,"Buôn Ma Thuột, Vietnam","APR
[551]",BMV,"6.5 km
(4.1 mi)",1973-03-19
58,2,55,1,COM,Pan African Airlines (N90427),Douglas C-54B-1-DC Skymaster,"Agwa, Rivers State, Nigeria","APR
[552]",PHC,"1.5 km
(0.9 mi)",1968-09-28
58,5,53,0,COM,American Airlines Flight 383,Boeing 727-23,"Hebron, Kentucky, US","APR
[553][554]",CVG,"3 km
(1.9 mi)",1965-11-08
58,7,51,0,COM,Eastern Air Lines Flight 304,Douglas DC-8,"Lake Pontchartrain, Louisiana, US","ENR
[555][556]",,,1964-02-25
58,9,49,0,COM,KLM Flight 844,Lockheed 1049E,"Biak Island, Indonesia","ENR
[557]",,,1957-07-16
58,7,51,0,EXS,El Al Israel Airlines Flight 402/26,Lockheed L-149 Constellation,"near Petrich, Bulgaria","ENR
[558]",,,1955-07-27
58,8,50,0,COM,Transocean Air Lines Flight 512,Douglas DC-6,Pacific Ocean,"ENR
[559]",,,1953-07-12
58,7,51,0,COM,Curtiss Reid Flying Services (CF-EDN),Douglas C-54B-1-DC,"Grande Tête de l'Obiou mountain, France","ENR
[560]",,,1950-11-13
58,3,55,0,COM,Northwest Orient Airlines Flight 2501,Douglas DC-4,"Lake Michigan, off Benton Harbor, Michigan, US","ENR
[561][562]",,,1950-06-23
58,5,0,53,COM,Japan mid-air collision,Fokker Super Universal and Mitsubishi Ki1,"Tokyo, Japan","ENR
[7][563][564]",,,1938-08-24
57,7,50,0,COM,Atlasjet Flight 4203,McDonnell Douglas MD-83,"Keçiborlu, Turkey","APR
[565]",ISE,"12 km
(7.5 mi)",2007-11-30
57,5,52,0,COM,ASA Pesada (D2-FCG),Antonov An-26,"Luanda, Angola","ENR
[566]",,,2000-11-15
57,5,52,0,COM,Turkish Airlines Flight 278,Boeing 737-4Y0,"Van, Turkey","APR
[567]",VAN,"4 km
(2.5 mi)",1994-12-29
57,7,50,0,MIL,Soviet Air Force (CCCP-76569),Ilyushin Il-76MD,"Caspian Sea off Sumqayit, Azerbaijan SSR, USSR","ENR
[568]",,,1989-10-18
57,5,52,0,COM,SAETA (HC-AVP),Vickers Viscount 785D,"Pastaza Province, Ecuador","ENR
[569]",,,1979-04-23
57,4,53,0,COM,Aeroflot Flight 2174,Antonov An-24B,"Atamanovka, Saratov Oblast, Russian SFSR, USSR","APR
[570]",RTW,"13 km
(8.1 mi)",1971-12-01
57,5,52,0,COM,Civil Air Transport (B-908),Curtiss C-46D-10-CU,"Jiaoxi, Taiwan","ICL
[571]",RMQ,"c. 8.5 km
(5.3 mi)",1964-06-20
56,2,53,0,COM,Indian Airlines Flight 491,Boeing 737-2A8,"Aurangabad, India","TOF
[572]",IXU,"1.9 km
(1.2 mi)",1993-04-26
56,2,54,0,COM,Martinair Flight 495,McDonnell Douglas DC-10-30CF,"Faro, Portugal","LDG
[573]",FAO,,1992-12-21
56,2,54,0,COM,Aeroflot Flight A-13,Antonov An-24B,"Neftyanyye Kamni, Azerbaijan","ENR
[574]",,,1973-08-18
56,1,50,5,COM,Varig Flight 837,Douglas DC-8-33,"Monrovia, Liberia","APR
[575]",ROB,"1.9 km
(1.2 mi)",1967-03-05
56,4,52,0,COM,Avianca Flight 4,Douglas C-54,"Cartagena Bay, off Cartagena, Colombia","ICL
[576]",CTG,"1.3 km
(0.81 mi)",1966-01-15
56,4,52,0,COM,Miami Airlines (N1678M),Curtiss C-46F-1-CU,"Hillside, New Jersey, US","ENR
[577]",,,1951-12-16
55,6,47,2,COM,China Eastern Airlines Flight 5210,Bombardier CRJ-200LR,"Baotou, Inner Mongolia, China","ICL
[578]",BAV,"2 km
(1.2 mi)",2004-11-21
55,7,48,0,EXG,Lionair Flight 602,Antonov An-24,"Palk Strait, off Mannar, Sri Lanka","ENR
[579]",,,1998-09-29
55,1,54,0,COM,China Northwest Airlines Flight 2119,British Aerospace 146,"Yinchuan, China","TOF
[580]",INC,,1993-07-23
55,5,50,0,COM,Partnair Flight 394,Convair CV-580,"Skagerrak, near Hirtshals, Denmark","ENR
[581]",,,1989-09-08
55,2,53,0,COM,British Airtours Flight 28M,Boeing 737-236,"Manchester, England, UK","TOF
[582]",MAN,,1985-08-22
55,8,47,0,COM,Transbrasil Flight 303,Boeing 727-27C,"Morro da Virgínia, Santa Catarina, Brazil","APR
[583]",FLN,"24 km
(15 mi)",1980-04-12
55,4,51,0,COM,Aeroflot Flight H-826,Antonov An-24B,"Preobrazhenka, Dnipropetrovsk, Ukrainian SSR, USSR","ENR
[584]",,,1969-08-03
55,7,48,0,COM,Air Afrique (F-BIAO),Douglas DC-6B,"Mount Cameroon, Cameroon","ENR
[585]",,,1963-05-03
55,7,48,0,COM,TWA Flight 903,Lockheed L-749A,"Wadi Natrun, Egypt","ENR
[586][587]",,,1950-08-31
55,4,51,0,COM,"Eastern Air Lines Flight 537 and
Bolivian Air Force (NX26927)",Douglas DC-4 and Lockheed P-38 Lightning,"Alexandria, Virginia, US","APR
[588][589]",DCA,"0.8 km
(0.5 mi)",1949-11-01
54,5,49,0,COM,Trigana Air Flight 267,ATR 42-300,"Mount Tangok, Pegunungan Bintang Regency, Papua, Indonesia","ENR
[590]",,,2015-08-16
54,7,47,0,COM,China Airlines Flight 204,Boeing 737-209,"Chiashan Mts., Hualien City, Taiwan","ENR
[591]",,,1989-10-26
54,5,49,0,COM,Pakistan International Airlines Flight 404,Fokker F27 Friendship 200,"Bunji, Pakistan","ENR
[592]",,,1989-08-25
54,[nb 30],[nb 31],0,MIL,Ethiopian Air Force,Antonov An-12,"near Asmara, Eritrea","UNK
[593]",,,1987-01-13
54,2,52,0,COM,Aeroflot Flight 2306,Tupolev Tu-134AK,"near Kopsa, Komi ASSR, Russian SFSR, USSR","ENR
[594]",,,1986-07-02
54,10,44,0,MIL,Israeli Air Force (960),Sikorsky CH-53 Sea Stallion,"Jordan Valley, Israel","UNK
[595][8]",,,1977-05-10
54,4,50,0,COM,Alia Royal Jordanian Airlines Herald (JY-ACQ),Handley Page HPR-7 Herald 207,"Al-Dimas, Syria","ENR
[596]",,,1965-04-10
54,5,49,0,COM,REAL Transportes Aéreos (PP-YRB),Convair CV-340-62,"Guanabara Bay, Brazil","APR
[597]",GIG,"c. 3 km
(1.9 mi)",1960-06-24
54,9,45,0,COM,TAI (F-BIAP),Douglas DC-7C,"Mérignac, France","ICL
[598]",BOD,"<1 km
(0.6 mi)",1959-09-24
53,10,43,0,COM,Air France Flight 422,Boeing 727-230,"Monserrate Mtn., Bogotá, Colombia","ENR
[599]",,,1998-04-20
53,6,47,0,COM,Federal Airlines (ST-FAG),Antonov An-24RV,"Khartoum North, Sudan","LDG
[600]",[nb 32],,1996-05-03
53,5,48,0,COM,Lineas Aéreas del Estado (TC-72) (1995),Fokker F-27 Friendship 400M,"near Champaqui, Córdoba, Argentina","ENR
[601]",,,1995-11-08
53,[nb 33],[nb 34],0,EXG,Bakhtar Alwatana (YA-BAL),Antonov An-26,"near Khost, Afghanistan","ENR
[602]",,,1987-06-11
53,4,0,49,COM,Aeroservicios Ecuatorianos Flight 767-103,Douglas DC-8-55F,"Concepción, Quito Canton, Ecuador","TOF
[603]",UIO,,1984-09-18
53,2,51,0,COM,Nigeria Airways (5N-ANF),Fokker F28 Fellowship 2000,"Enugu, Nigeria","APR
[604]",ENU,"3.3 km
(2.1 mi)",1983-11-28
53,4,49,0,MIL,Korean Air Force (56-4391),Fairchild C-123J,"Seongnam, South Korea","TOF
[605]",SSN,,1982-06-01
53,6,47,0,MIL,Korean Air Force,Fairchild C-123J,"Hallasan Vol., South Korea","ENR
[606]",,,1982-02-06
53,5,48,0,COM,LOT Polish Airlines Flight 165,Antonov An-24W,"Polica Mtn., Poland","ENR
[607]",,,1969-04-02
53,9,44,0,MIL,US Air Force (49-0244),Douglas C-124A Globemaster II,"area of Biscay Abyssal Plain, Atlantic Ocean","ENR
[608]",,,1951-03-23
53,1,52,0,COM,Strato-Freight (NC92857),Curtiss C-46D-5-CU,"Atlantic Ocean off San Juan, Puerto Rico, US","ICL
[609]",SIG,"10 km
(6.3 mi)",1949-06-07
53,4,49,0,COM,Eastern Air Lines Flight 605,Douglas DC-4,"Bainbridge, Maryland, US","ENR
[610][611]",,,1947-05-30
53,4,49,0,COM,Avianca (C-114),Douglas DC-4,"Mt. El Tablazo, Subachoque, Colombia","ENR
[612]",,,1947-02-15
53,1,0,52,MIL,Santa Ana air show disaster,Curtiss Hawk II,"Campo de Marte, Bogotá, Colombia","ENR
[6]",,,1938-07-24
53,2,50,0,COM,Azerbaijan Airlines Flight 56,Tupolev Tu-134B,"Nakhchivan, Azerbaijan","ICL
[613]",NAJ,"3.8 km
(2.4 mi)",1995-12-05
53,[nb 35],[nb 35],3,MIL,Philippine Air Force (5125),Lockheed C-130H Hercules,"Patikul, Sulu, Philippines","APR
[614]",JOL,,2021-07-04
52,3,49,0,EXG,Sri Lanka Air Force (4R-HVA),British Aerospace BAe-748-357 Srs. 2b,"near Jaffna, Sri Lanka","APR
[615]",JAF,unknown,1995-04-29
52,4,42,6,MIL,Kenya Air Force (214),de Havilland Canada DHC-5D Buffalo,"Eastleigh, Nairobi, Kenya","APR
[616]",HKRE,"1.7 km
(1.1 mi)",1992-04-16
52,5,47,0,EXG,Bakhtar Afghan Airlines (YA-BAM),Antonov An-26,"Senjaray, Kandahar Province, Afghanistan","ENR
[617]",,,1985-09-04
52,6,46,0,COM,Aeroflot Flight 1802,Antonov An-24RV,"Chernihiv, Ukrainian SSR, USSR","ENR
[618]",,,1976-05-15
52,5,47,0,COM,Lineas Aéreas del Estado (TC-72) (1975),Fokker F-27 Friendship 400M,"Pilcaniyeu, Argentina","APR
[619]",BRC,"35 km
(21.9 mi)",1975-03-16
52,4,48,0,COM,Aeroflot Flight H-63,Antonov An-24B,"Vinnytsia, Ukrainian SSR, USSR","APR
[620]",VIN,"c. 2.5 km
(1.6 mi)",1971-11-12
52,6,46,0,INB,Canadian Pacific Air Lines Flight 21,Douglas DC-6B,"near 100 Mile House, BC, Canada","ENR
[621]",,,1965-07-08
52,12,40,0,COM,Aerolíneas Argentinas Flight 322,de Havilland Comet 4,"Campinas, Brazil","ICL
[622]",VCP,"2 km
(1.2 mi)",1961-11-23
52,8,44,0,COM,ČSA Flight 511,Ilyushin Il-18,"Gräfenberg, West Germany","ENR
[623]",,,1961-03-28
52,7,13,32,MIL,US Air Force (55-0291),Convair C-131 Samaritan,"Munich, West Germany","ENR
[624]",,,1960-12-17
52,3,49,0,COM,Transports Aériens Intercontinentaux (F-BGOD),Douglas DC-6B,"near New Cairo, Egypt","APR
[625]",CAI,"29 km
(18.1 mi)",1956-02-20
52,11,41,0,MIL,US Air Force (51-0107),Douglas C-124A-DL Globemaster II,"Colony Glacier, Mount Gannett, Chugach Mountains, Alaska, US","ENR
[626]",,,1952-11-22
52,0,52,0,COM,Pan Am Flight 526A,Douglas DC-4,"Atlantic Ocean, off San Juan, Puerto Rico, US","ENR
[627][628]",,,1952-04-11
52,12,40,0,COM,Air France (F-BDRC),Latécoère 631,Atlantic Ocean,"ENR
[629]",,,1948-08-01
52,5,47,0,COM,United Airlines Flight 608,Douglas DC-6,"Bryce Canyon, Utah, US","ENR
[630][631]",,,1947-10-24
52,42,10,0,MIL,French airship Dixmude,Zeppelin-type rigid airship,"Mediterranean, off Sicily, Italy",[4],,,1923-12-21
51,4,47,0,COM,US-Bangla Airlines Flight 211,Bombardier Dash 8-Q400,"Kathmandu, Nepal","LDG
[632]",KTM,,2018-03-12
51,4,17,30,COM,Malift Air (9Q-COS),Antonov An-26,"Kinshasa, DR Congo","TOF
[633]",FIH,"2.0 km
(1.2 mi)",2007-10-04
51,6,45,0,MIL,Afghanistan Air Force,Antonov An-32,"Khojak Pass, Pakistan","APR
[634]",UET,"110 km
(68.4 mi)",1998-01-13
51,5,46,0,COM,Intercontinental de Aviación Flight 256,Douglas DC-9-14,"near María La Baja, Colombia","APR
[635]",CTG,"56 km
(34.8 mi)",1995-01-11
51,4,47,0,COM,Aeroflot Flight C-519,Yakovlev Yak-40,"Mt. Kukurtbash, Untsukulsky District, Dagestan ASSR, Russian SFSR, USSR","APR
[636]",MCX,"23 km
(14.4 mi)",1991-11-07
51,6,45,0,COM,Air Mali (TZ-ACT),Antonov An-24B,"Timbuktu, Mali","ICL
[637]",TOM,"3 km
(1.9 mi)",1985-02-22
51,6,45,0,COM,Soviet Navy (CCCP-42332),Tupolev Tu-104A,"Pushkinsky District, Leningrad, Russian SFSR, USSR","ENR
[638]",,,1981-02-07
51,6,45,0,COM,Aeroflot Flight 2022,Tupolev Tu-124V,"Karacharovo, Volokolamsky District, Russian SFSR, USSR","ENR
[639]",,,1973-12-16
51,9,42,0,COM,Pan Am Flight 217,Boeing 707-321B,"Atlantic Ocean, off Maiquetía, Venezuela","APR
[640]",CCS,"c. 9 km
(5.6 mi)",1968-12-12
51,5,46,0,COM,Austral Líneas Aéreas Flight 205,Curtiss C-46A-50-CU,"Atlantic Ocean off Mar del Plata, Argentina","APR
[641]",MDQ,"1.2 km
(0.8 mi)",1959-01-16
51,7,44,0,COM,Panair do Brasil Flight 099,Lockheed Constellation,"São Leopoldo, Brazil","ENR
[642]",,,1950-07-28
50,6,44,0,COM,Tatarstan Airlines Flight 363,Boeing 737-53A,"Kazan, Russia","LDG
[643]",KZN,,2013-11-17
