Total,Crew,Passenger,Ground,Type,Incident,Aircraft,Location,Phase,Airport,Distance,
118,8,106,4,COM,"SAS Flight 686 and
Private aircraft (D-IEVX)",McDonnell Douglas MD-87 and Cessna Citation CJ2,"Milan, Italy","TOF/TXI
[186][187]
[188]",LIN,,2001-10-08
118,9,109,0,COM,British European Airways Flight 548,Hawker Siddeley Trident 1C,"Staines, United Kingdom","ICL
[189][190]",LHR,"5.5 km
(3.4 mi)",1972-06-18
118,7,111,0,COM,Trans-Canada Air Lines Flight 831,Douglas DC-8-54CF,"Sainte-Thérèse, Quebec, Canada","ENR
[191]",,,1963-11-29
117,6,111,0,COM,Bellview Airlines Flight 210,Boeing 737-2L9,"near Lagos, Nigeria","ENR
[192]",,,2005-10-22
117,11,105,0,COM,Sudan Airways Flight 139,Boeing 737-200C,"Port Sudan, Sudan","APR
[193]",PZU,"5 km
(3.1 mi)",2003-07-08
117,11,106,0,COM,Air India Flight 101,Boeing 707-437,"Mont Blanc massif, France","ENR
[194]",,,1966-01-24
116,6,110,0,COM,Air Algérie Flight 5017,McDonnell Douglas MD-83,"near Gossi, Mali","ENR
[195]",,,2014-07-24
116,8,108,0,COM,Avioimpex Flight 110,Yakovlev Yak-42,"Ohrid, Republic of Macedonia","APR
[196]",OHD,"2 km
(1.2 mi)",1993-11-20
115,11,104,0,INB,Korean Air Flight 858,Boeing 707-3B5C,"Andaman Sea, near Heinze Bok, Burma","ENR
[197]",,,1987-11-29
115,7,108,0,COM,Alitalia Flight 112,McDonnell Douglas DC-8-43,"Cinisi, Sicily, Italy","APR
[198]",PMO,"5 km
(3.1 mi)",1972-05-05
114,6,108,0,COM,Kenya Airways Flight 507,Boeing 737-8AL,"Douala, Cameroon","ENR
[199]",,,2007-05-05
113,8,105,0,COM,Armavia Flight 967,Airbus A320-221,"Black Sea, off Adler, Russia","APR
[200]",AER,"6 km
(3.7 mi)",2006-05-03
113,9,100,4,COM,Air France Flight 4590,Aérospatiale-BAC Concorde,"Gonesse, France","ICL
[201][202]",CDG,"3.5 km
(2.2 mi)",2000-07-25
113,14,99,0,COM,Thai Airways International Flight 311,Airbus A310-304,"Langtang National Park, Nepal","ENR
[203]",,,1992-07-31
113,6,107,0,COM,Eastern Air Lines Flight 66,Boeing 727-225,"Jamaica, New York, US","APR
[204][205]",JFK,"0.73 km
(0.46 mi)",1975-06-24
113,10,103,0,COM,Air France Flight 117,Boeing 707-328,"near Deshaies, Guadeloupe, West Indies","APR
[206]",PTP,"25 km
(16 mi)",1962-06-22
112,6,106,0,COM,Cubana de Aviación Flight 972,Boeing 737-201 Adv.,"Santiago de las Vegas, Cuba","ICL
[207]",HAV,"10 km
(6.2 mi)",2018-05-18
112,9,103,0,COM,China Northern Airlines Flight 6136,McDonnell Douglas MD-82,"Dalian Bay, China","APR
[208]",DLC,"20 km
(12 mi)",2002-05-07
112,1,111,0,COM,United Airlines Flight 232,McDonnell Douglas DC-10-10,"Sioux City, Iowa, US","LDG
[85][209]
[210]",SUX,,1989-07-19
112,5,107,0,INB,Gulf Air Flight 771,Boeing 737-2P6,"Mina Jebel Ali, United Arab Emirates","APR
[211]",AUH,"80 km
(49.7 mi)",1983-09-23
112,8,104,0,COM,Civil Aviation Administration of China Flight 3303,Hawker Siddeley Trident,"near Yangshuo, China","APR
[212]",KWL,"60 km
(37 mi)",1982-04-26
112,6,106,0,COM,Sterling Airways Flight 296,Sud Aviation Caravelle,"Fujairah, United Arab Emirates","ENR
[213]",,,1972-03-14
112,7,105,0,COM,Dan-Air (G-APDN),de Havilland Comet 4,"Les Agudes mountain, Spain","ENR
[214][215]",,,1970-07-03
111,11,100,0,COM,Aeroflot/Armenia Flight 909,Ilyushin Il-18E,"Verkhnyaya Khava, Verkhnekhavsky District, Russian SFSR, USSR","ENR
[216]",,,1976-03-06
111,7,104,0,COM,Alaska Airlines Flight 1866,Boeing 727-100,"near Juneau, Alaska, US","APR
[217][218]",JNU,"30 km
(19 mi)",1971-09-04
111,4,0,107,COM,Flying Tiger Line (N228SW),Canadair CL-44D4-1,"Da Nang, Vietnam","APR
[219]",DAD,"c. 1 km
(0.6 mi)",1966-12-24
111,10,101,0,COM,Caledonian Airways Flight 153,Douglas DC-7,"Douala, Cameroon","ICL
[220]",DLA,"2.5 km
(1.6 mi)",1962-03-04
110,5,105,0,COM,ValuJet Flight 592,McDonnell Douglas DC-9-32,"Everglades, Florida, US","ENR
[221][222]",,,1996-05-11
110,7,103,0,COM,Aeroflot Flight 3519,Tupolev 154B-2,"Yemelyanovo, Yemelyanovsky, Russian SFSR, USSR","ENR
[223]",,,1984-12-23
110,6,104,0,COM,Far Eastern Air Transport Flight 103,Boeing 737-222,"Miaoli, Taiwan","ENR
[224]",,,1981-08-22
109,7,102,0,COM,Aeroflot (CCCP-75559),Ilyushin Il-18V,"Shushary, Russian SFSR, USSR","APR
[225]",LED,"2.5 km
(1.6 mi)",1974-04-27
109,8,101,0,COM,Aeroflot Flight 1036,Ilyushin Il-18V,"Black Sea, off Adler, Russian SFSR, USSR","ICL
[226]",AER,"4 km
(2.5 mi)",1972-10-01
109,9,100,0,COM,Air Canada Flight 621,McDonnell Douglas DC-8-63,"Vaughan, Ontario, Canada","LDG
[227]",YYZ,"11 km
(6.8 mi)",1970-07-05
108,7,101,0,COM,Sosoliso Airlines Flight 1145,McDonnell Douglas DC-9-32,"Port Harcourt, Nigeria","LDG
[228]",PHC,,2005-12-10
108,8,100,0,EXG,Transair Georgia (85163),Tupolev Tu-154B,"Babushara, near Sukhumi, Abkhazia, Georgia","APR
[229]",SUI,,1993-09-22
108,8,100,0,COM,China General Aviation Flight 7552,Yakovlev Yak-42,"Nanjing, China","ICL
[230]",NKG,"0.6 km
(0.4 mi)",1992-07-31
108,10,98,0,COM,China Southwest Airlines Flight 4146,Ilyushin Il-18D,"near Chongqing, China","APR
[231]",CKG,"c. 32 km
(20 mi)",1988-01-18
108,5,103,0,COM,Alitalia Flight 4128,McDonnell Douglas DC-9-32,"Tyrrhenian Sea, off Palermo, Italy","APR
[232]",PMO,"3 km
(1.9 mi)",1978-12-23
108,8,100,0,COM,Aeroflot Flight 3932,Tupolev Tu-104,"Yekaterinburg, Russian SFSR, USSR","ICL
[233]",SVX,"10 km
(6.2 mi)",1973-09-30
108,4,104,0,COM,Invicta International Airlines Flight 435,Vickers 952 Vanguard,"Reinach, Switzerland","APR
[234]",BSL,"15 km
(9.3 mi)",1973-04-10
108,8,100,0,EXS,Libyan Arab Airlines Flight 114,Boeing 727-224,"Western Sinai Peninsula, Israel","ENR
[235]",,,1973-02-21
